Country,Site,Species,Scientific,time,N,phi_lower,phi_expected,phi_upper,g_lower,g_expected,g_upper,K_lower,K_expected,K_upper,b0_lower,b0_expected,b0_upper,f0_total_lower,f0_total_expected,f0_total_upper,theta_mexico,theta_legal_lower,theta_legal_expected,theta_legal_upper,p_lower,p_expected,p_upper,beta_lower,beta_expected,beta_upper,c_lower,c_expected,c_upper,disc_lower,disc_expected,disc_upper,gamma_p,gamma_c,lambda
Mexico,Gulf of California,Pacific sardine,Sardinops sagax,20,1,0.188,0.188,0.188,0.174074074,0.174074074,0.174074074,6980198.727,6980198.727,6980198.727,0.9,0.9,0.9,1.625806397,1.625806397,1.625806397,1,0.938492061,0.938492061,0.938492061,83.56581525,83.56581525,83.56581525,1.3,1.3,1.3,122658676.8,122658676.8,122658676.8,0,0,0,1.1,0.9,0.03
Mexico,Gulf of California,Blue shrimp,Litopenaeus stylirostris,20,1,0.188,0.188,0.188,0.197811448,0.197811448,0.197811448,75531.54553,75531.54553,75531.54553,0.7,0.7,0.7,2.091104841,2.091104841,2.091104841,1,0.80871356,0.80871356,0.80871356,4902.954914,4902.954914,4902.954914,1.3,1.3,1.3,67562600.29,67562600.29,67562600.29,0,0,0,1.2,0.8,0.163636364
Mexico,Sonora,Spanish mackerel,Scomberomorus sierra,20,1,0.188,0.188,0.188,0.237373737,0.237373737,0.237373737,16789.40922,16789.40922,16789.40922,0.5,0.5,0.5,3.517590008,3.517590008,3.517590008,1,0.914714336,0.914714336,0.914714336,1088.940165,1088.940165,1088.940165,1.3,1.3,1.3,1929817.691,1929817.691,1929817.691,0,0,0,1.3,0.8,0.4875
Mexico,Pacific,Black tip shark,Carcharhinus limbatus,20,1,0.188,0.188,0.188,0.029592593,0.029592593,0.029592593,79691.90075,79691.90075,79691.90075,0.7,0.7,0.7,3.832064175,3.832064175,3.832064175,1,0.921713211,0.921713211,0.921713211,1275.764375,1275.764375,1275.764375,1.3,1.3,1.3,32816285.34,32816285.34,32816285.34,0,0,0,1.3,0.9,0.417857143
Mexico,Gulf of California,Sharks,,20,1,0.188,0.188,0.188,0.03956229,0.03956229,0.03956229,2409.34158,2409.34158,2409.34158,0.6,0.6,0.6,1.97027223,1.97027223,1.97027223,1,0.847736777,0.847736777,0.847736777,1368.43144,1368.43144,1368.43144,1.3,1.3,1.3,1020755.746,1020755.746,1020755.746,0,0,0,1.3,0.9,0.417857143
Mexico,Pacific,Yellowfin Tuna,Thunnus albacares,20,1,0.188,0.188,0.188,0.031649832,0.031649832,0.031649832,9155828.241,9155828.241,9155828.241,0.85,0.85,0.85,1.933924409,1.933924409,1.933924409,0.5,0.948291671,0.948291671,0.948291671,660.5062055,660.5062055,660.5062055,1.3,1.3,1.3,1901298895,1901298895,1901298895,0,0,0,1.2,0.8,0.030769231
Mexico,Not Specified,Squid,Dosidicus gigas,20,1,0.188,0.188,0.188,0.253198653,0.253198653,0.253198653,902459.5339,902459.5339,902459.5339,0.8,0.8,0.8,2.238652008,2.238652008,2.238652008,1,0.910660523,0.910660523,0.910660523,333.3874208,333.3874208,333.3874208,1.3,1.3,1.3,79904417.31,79904417.31,79904417.31,0,0,0,1.3,0.7,0.148571429
Mexico,Gulf of California,Octopus,Octopus,20,1,0.188,0.188,0.188,0.205723906,0.205723906,0.205723906,3615.336554,3615.336554,3615.336554,0.3,0.3,0.3,5.046636014,5.046636014,5.046636014,1,0.920739281,0.920739281,0.920739281,3144.569396,3144.569396,3144.569396,1.3,1.3,1.3,944242.18,944242.18,944242.18,0,0,0,1.3,0.9,0.445714286
Mexico,Not Specified,Skipjack,Seriola spp.,20,1,0.188,0.188,0.188,0.022154882,0.022154882,0.022154882,148878.6569,148878.6569,148878.6569,0.8,0.8,0.8,2.748714124,2.748714124,2.748714124,1,0.890858057,0.890858057,0.890858057,636.0067982,636.0067982,636.0067982,1.3,1.3,1.3,42091649.09,42091649.09,42091649.09,0,0,0,1.1,0.8,0.471428571
Mexico,Not Specified,Jellyfish,Stomolophus meleagris,20,1,0.188,0.188,0.188,0.235791246,0.235791246,0.235791246,173233.1767,173233.1767,173233.1767,0.8,0.8,0.8,1.98362095,1.98362095,1.98362095,1,0.798348571,0.798348571,0.798348571,218.75,218.75,218.75,1.3,1.3,1.3,1523047.396,1523047.396,1523047.396,0,0,0,1.4,0.7,0.7
